code,name,market,industry
1240,茂生農經,OTC,農業科技業
1259,安心,OTC,觀光餐旅
1264,德麥,OTC,食品工業
1268,漢來美食,OTC,觀光餐旅
1336,台翰,OTC,電子零組件業
1565,精華,OTC,生技醫療業
1569,濱川,OTC,電腦及週邊設備業
1570,力肯,OTC,電機機械
1580,新麥,OTC,電機機械
1584,精剛,OTC,其他業
1586,和勤,OTC,電機機械
1591,駿吉-KY,OTC,電機機械
1593,祺驊,OTC,運動休閒
1595,川寶,OTC,電子零組件業
1599,宏佳騰,OTC,電機機械
1742,台蠟,OTC,化學工業
1777,生泰,OTC,生技醫療業
1781,合世,OTC,生技醫療業
1784,訊聯,OTC,生技醫療業
1785,光洋科,OTC,其他電子業
1788,杏昌,OTC,生技醫療業
1796,金穎生技,OTC,食品工業
1799,易威,OTC,生技醫療業
1813,寶利徠,OTC,生技醫療業
1815,富喬,OTC,電子零組件業
2035,唐榮,OTC,鋼鐵工業
2061,風青,OTC,電器電纜
2063,世鎧,OTC,鋼鐵工業
2064,晉椿,OTC,鋼鐵工業
2065,世豐,OTC,鋼鐵工業
2066,世德,OTC,電機機械
2067,嘉鋼,OTC,電機機械
2070,精湛,OTC,電機機械
2073,雄順,OTC,鋼鐵工業
2221,大甲,OTC,其他業
2230,泰茂,OTC,電機機械
2235,謚源,OTC,電機機械
2596,綠意,OTC,建材營造業
2640,大車隊,OTC,數位雲端
2641,正德,OTC,航運業
2643,捷迅,OTC,航運業
2718,晶悅,OTC,建材營造業
2719,燦星旅,OTC,觀光餐旅
2724,藝舍-KY,OTC,觀光餐旅
2726,雅茗-KY,OTC,觀光餐旅
2729,瓦城,OTC,觀光餐旅
2732,六角,OTC,觀光餐旅
2734,易飛網,OTC,觀光餐旅
2736,富野,OTC,觀光餐旅
2740,天蔥,OTC,觀光餐旅
2743,山富,OTC,觀光餐旅
2745,五福,OTC,觀光餐旅
2752,豆府,OTC,觀光餐旅
2754,亞洲藏壽司,OTC,觀光餐旅
2755,揚秦,OTC,觀光餐旅
2756,聯發國際,OTC,觀光餐旅
